2025-10-24 19:17:40 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=92
2025-10-24 19:17:40 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-24 19:47:41 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=94
2025-10-24 19:47:41 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-24 20:17:41 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=94
2025-10-24 20:17:41 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-24 20:47:41 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=87
2025-10-24 20:47:41 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-24 21:17:41 | INFO | weather | Mode=weather_based Phase=night Base=overcast Main=clouds Wid=804 Clouds=87
2025-10-24 21:17:41 | INFO | weather | Final phase=night instance=overcast (mode=weather_based fog_applied=False)
2025-10-24 21:47:41 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=801 Clouds=19
2025-10-24 21:47:41 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-24 22:17:43 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=801 Clouds=19
2025-10-24 22:17:43 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-24 22:47:43 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=801 Clouds=20
2025-10-24 22:47:43 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-24 23:17:43 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=801 Clouds=20
2025-10-24 23:17:43 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-24 23:47:43 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=801 Clouds=20
2025-10-24 23:47:43 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-25 00:17:43 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=801 Clouds=20
2025-10-25 00:17:43 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-25 00:47:44 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=801 Clouds=19
2025-10-25 00:47:44 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-25 01:17:44 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=801 Clouds=19
2025-10-25 01:17:44 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
2025-10-25 01:47:44 | INFO | weather | Mode=weather_based Phase=night Base=clear Main=clouds Wid=801 Clouds=19
2025-10-25 01:47:44 | INFO | weather | Final phase=night instance=clear (mode=weather_based fog_applied=False)
